FSMTFileList,v,0,1
FILES,,,
Path,FileType,DataType,PrettyName
CD,Folder,Container,
CD/COM,Folder,Container,
CD/COM/FDAT.T,T,Container,
CD/COM/FDAT.T/0,Raw,MapTilemap,Western Shore Tilemap
CD/COM/FDAT.T/1,Raw,MapDB,Western Shore Map DB
CD/COM/FDAT.T/2,Raw,MapScript,Western Shore Script
CD/COM/FDAT.T/3,Raw,MapTilemap,Garrison Tilemap
CD/COM/FDAT.T/4,Raw,MapDB,Garrison Map DB
CD/COM/FDAT.T/5,Raw,MapScript,Garrison Script
CD/COM/FDAT.T/6,Raw,MapTilemap,Central Village Tilemap
CD/COM/FDAT.T/7,Raw,MapDB,Central Village Map DB
CD/COM/FDAT.T/8,Raw,MapScript,Central Village Script
CD/COM/FDAT.T/9,Raw,MapTilemap,East Village Tilemap
CD/COM/FDAT.T/10,Raw,MapDB,East Village Map DB
CD/COM/FDAT.T/11,Raw,MapScript,East Village Script
CD/COM/FDAT.T/12,Raw,MapTilemap,Cathedral Tilemap
CD/COM/FDAT.T/13,Raw,MapDB,Cathedral Map DB
CD/COM/FDAT.T/14,Raw,MapScript,Cathedral Script
CD/COM/FDAT.T/15,Raw,MapTilemap,Big Mine Tilemap
CD/COM/FDAT.T/16,Raw,MapDB,Big Mine Map DB
CD/COM/FDAT.T/17,Raw,MapScript,Big Mine Script
CD/COM/FDAT.T/18,Raw,MapTilemap,Necron's Coliseum Tilemap
CD/COM/FDAT.T/19,Raw,MapDB,Necron's Coliseum Map DB
CD/COM/FDAT.T/20,Raw,MapScript,Necron's Coliseum Script
CD/COM/FDAT.T/21,Raw,MapTilemap,Guyra's Lair Tilemap
CD/COM/FDAT.T/22,Raw,MapDB,Guyra's Lair Map DB
CD/COM/FDAT.T/23,Raw,MapScript,Guyra's Lair Script
CD/COM/FDAT.T/24,Raw,MapTilemap,Debug Map Tilemap
CD/COM/FDAT.T/25,Raw,MapDB,Debug Map Map DB
CD/COM/FDAT.T/26,Raw,MapScript,Debug Map Script
CD/COM/FDAT.T/27,Raw,TextureDB,Texture Database
CD/COM/FDAT.T/28,MIX,Container,Game Database
CD/COM/FDAT.T/28/0,Raw,KF2_ObjectClasses,Object Classes
CD/COM/FDAT.T/28/1,Raw,KF2_WeaponParams,Weapon Parameters
CD/COM/FDAT.T/28/2,Raw,KF2_ArmourParams,Armour Parameters
CD/COM/FDAT.T/28/3,Raw,KF2_LevelCurve,Level Curve
CD/COM/FDAT.T/28/4,Raw,KF2_MagicParams,Magic Parameters
CD/COM/FDAT.T/28/5,Raw,KF2_TileRenderParams,Tile Render Parameters
CD/COM/FDAT.T/28/6,Raw,KF2_SoundEffectParams,Sound Effect Parameters
CD/COM/FDAT.T/28/7,Raw,KF2_ModelPack_MO,Magic/Effect Models
CD/COM/FDAT.T/28/8,Raw,KF2_ModelPack_TMD,UI Models
CD/COM/FDAT.T/29,Raw,Model,Dagger Viewmodel
CD/COM/FDAT.T/30,Raw,Model,Short Sword Viewmodel
CD/COM/FDAT.T/31,Raw,Model,Knight Sword Viewmodel
CD/COM/FDAT.T/32,Raw,Model,Morning Star Viewmodel
CD/COM/FDAT.T/33,Raw,Model,Battle Hammer Viewmodel
CD/COM/FDAT.T/34,Raw,Model,Bastard Sword Viewmodel
CD/COM/FDAT.T/35,Raw,Model,Crescent Axe Viewmodel
CD/COM/FDAT.T/36,Raw,Model,Flame Sword Viewmodel
CD/COM/FDAT.T/37,Raw,Model,Shiden Viewmodel
CD/COM/FDAT.T/38,Raw,Model,Spider Viewmodel
CD/COM/FDAT.T/39,Raw,Model,Ice Blade Viewmodel
CD/COM/FDAT.T/40,Raw,Model,Seath's Sword Viewmodel
CD/COM/FDAT.T/41,Raw,Model,Moonlight Sword Viewmodel
CD/COM/FDAT.T/42,Raw,Model,Dark Slayer Viewmodel
CD/COM/FDAT.T/43,Raw,Model,Bow Viewmodel
CD/COM/FDAT.T/44,Raw,Model,Arbalest Viewmodel
CD/COM/ITEM.T,T,Container,
CD/COM/ITEM.T/0,Raw,Model,Dagger Model
CD/COM/ITEM.T/1,Raw,Model,Short Sword Model
CD/COM/ITEM.T/2,Raw,Model,Knight Sword Model
CD/COM/ITEM.T/3,Raw,Model,Morning Star Model
CD/COM/ITEM.T/4,Raw,Model,Battle Hammer Model
CD/COM/ITEM.T/5,Raw,Model,Bastard Sword Model
CD/COM/ITEM.T/6,Raw,Model,Crescent Axe Model
CD/COM/ITEM.T/7,Raw,Model,Flame Sword Model
CD/COM/ITEM.T/8,Raw,Model,Shiden Model
CD/COM/ITEM.T/9,Raw,Model,Spider Model
CD/COM/ITEM.T/10,Raw,Model,Ice Blade Model
CD/COM/ITEM.T/11,Raw,Model,Seath's Sword Model
CD/COM/ITEM.T/12,Raw,Model,Moonlight Sword Model
CD/COM/ITEM.T/13,Raw,Model,Dark Slayer Model
CD/COM/ITEM.T/14,Raw,Model,Bow Model
CD/COM/ITEM.T/15,Raw,Model,Arbalest Model
CD/COM/ITEM.T/16,Raw,Model,Iron Mask Model
CD/COM/ITEM.T/17,Raw,Model,Knight Helm Model
CD/COM/ITEM.T/18,Raw,Model,Great Helm Model
CD/COM/ITEM.T/19,Raw,Model,Blood Crown Model
CD/COM/ITEM.T/20,Raw,Model,Lightning Helm Model
CD/COM/ITEM.T/21,Raw,Model,Seath's Helm Model
CD/COM/ITEM.T/22,Raw,Model,Breast Plate Model
CD/COM/ITEM.T/23,Raw,Model,Knight Plate Model
CD/COM/ITEM.T/24,Raw,Model,Ice Armor Model
CD/COM/ITEM.T/25,Raw,Model,Dark Armor Model
CD/COM/ITEM.T/26,Raw,Model,Seath's Armor Model
CD/COM/ITEM.T/27,Raw,Model,Leather Shield Model
CD/COM/ITEM.T/28,Raw,Model,Large Shield Model
CD/COM/ITEM.T/29,Raw,Model,Moon Guard Model
CD/COM/ITEM.T/30,Raw,Model,Crystal Guard Model
CD/COM/ITEM.T/31,Raw,Model,Skull Shield Model
CD/COM/ITEM.T/32,Raw,Model,Seath's Shield Model
CD/COM/ITEM.T/33,Raw,Model,Iron Gloves Model
CD/COM/ITEM.T/34,Raw,Model,Stone Hands Model
CD/COM/ITEM.T/35,Raw,Model,Silver Arms Model
CD/COM/ITEM.T/36,Raw,Model,Demon's Hands Model
CD/COM/ITEM.T/37,Raw,Model,Ruinous Gloves Model
CD/COM/ITEM.T/38,Raw,Model,Iron Boots Model
CD/COM/ITEM.T/39,Raw,Model,Leg Guarders Model
CD/COM/ITEM.T/40,Raw,Model,Silver Boots Model
CD/COM/ITEM.T/41,Raw,Model,Death Walkers Model
CD/COM/ITEM.T/42,Raw,Model,Ruinous Boots Model
CD/COM/ITEM.T/43,Raw,Model,Scorpion's Bracelet Model
CD/COM/ITEM.T/44,Raw,Model,Seath's Tear Model
CD/COM/ITEM.T/45,Raw,Model,Seath's Bracelet Model
CD/COM/ITEM.T/46,Raw,Model,Earth Ring Model
CD/COM/ITEM.T/47,Raw,Model,Psycpros Collar Model
CD/COM/ITEM.T/48,Raw,Model,Amulet Of Mist Model
CD/COM/ITEM.T/49,Raw,Model,Lightwave Ring Model
CD/COM/ITEM.T/50,Raw,Model,Pirate's Map Model
CD/COM/ITEM.T/51,Raw,Model,Miner's Map Model
CD/COM/ITEM.T/52,Raw,Model,Necron's Map Model
CD/COM/ITEM.T/53,Raw,Model,Gold Coin Model
CD/COM/ITEM.T/54,Raw,Model,Blood Stone Model
CD/COM/ITEM.T/55,Raw,Model,Moon Stone Model
CD/COM/ITEM.T/56,Raw,Model,Verdite Model
CD/COM/ITEM.T/57,Raw,Model,Earth Herb Model
CD/COM/ITEM.T/58,Raw,Model,Antidote Model
CD/COM/ITEM.T/59,Raw,Model,Dragon Crystal Model
CD/COM/ITEM.T/60,Raw,Model,Blue Potion Model
CD/COM/ITEM.T/61,Raw,Model,Red Potion Model
CD/COM/ITEM.T/62,Raw,Model,Green Potion Model
CD/COM/ITEM.T/63,Raw,Model,Gold Potion Model
CD/COM/ITEM.T/64,Raw,Model,"A" Potion Model
CD/COM/ITEM.T/65,Raw,Model,Crystal Flask Model
CD/COM/ITEM.T/66,Raw,Model,Figure Of Seath Model
CD/COM/ITEM.T/67,Raw,Model,Phantom Rod Model
CD/COM/ITEM.T/68,Raw,Model,Truth Glass Model
CD/COM/ITEM.T/69,Raw,Model,Seath's Plume Model
CD/COM/ITEM.T/70,Raw,Model,Demon's Pick Model
CD/COM/ITEM.T/71,Raw,Model,Harvine's Flute Model
CD/COM/ITEM.T/72,Raw,Model,Ground Bell Model
CD/COM/ITEM.T/73,Raw,Model,Fire Crystal Model
CD/COM/ITEM.T/74,Raw,Model,Water Crystal Model
CD/COM/ITEM.T/75,Raw,Model,Earth Crystal Model
CD/COM/ITEM.T/76,Raw,Model,Wind Crystal Model
CD/COM/ITEM.T/77,Raw,Model,Light Crystal Model
CD/COM/ITEM.T/78,Raw,Model,Dark Crystal Model
CD/COM/ITEM.T/79,Raw,Model,Crystal Model
